cellule,Z_biapy,X_biapy,Y_biapy,Z_gcamp,X_gcamp,Y_gcamp,distance_3D
155,85.2064581678016,882.5,772.25,61.3296402340827,889.917301254763,771.484898364181,25.0140794964955
156,55.7879618095149,915.5,1086,50.8130571825497,912.593263623614,1083.61887944226,6.23446288943288
157,49.6768949008399,840,1055.25,50.9763946872126,834.042223463787,1053.16829828053,6.44339064461287
158,53.6091217476523,878.75,982.5,54.118237309545,885.221615441816,978.89225890647,7.42676247634595
159,58.7422861236182,737.25,978.5,52.6274032791212,740.284921346639,974.635006030177,7.84478923674677
160,61.036887260839,753.25,1032.75,50.9731958436227,752.402454484394,1026.5317120538,11.8601569687682
161,62.7110334895867,859,875.25,57.377210555263,860.823062591438,876.47785290285,5.76895545641108
162,56.7361898398965,835.5,1002.25,52.7399940287073,834.577789023243,1002.24473549313,4.10122929888701
163,42.1299071514395,851.5,1094,49.6828458341983,851.207173868531,1096.26775410273,7.891472521604
164,48.94517949762,829.5,1087.25,49.7187813780146,829.072755718699,1087.9796302438,1.14601825374946
165,49.0422673315056,817,1019.25,51.934076772207,816.241902683826,1019.59229555486,3.00905959213082
166,60.511395518091,840,887.5,56.6987236644842,840.797365076328,889.579965261163,4.4157120848036
167,57.0876305716799,813.75,982.5,53.3414673398297,817.271594684009,979.151382479233,6.13584610127152
168,56.2480402183092,972.75,943.25,56.3126746404675,974.072134392844,944.400261916565,1.75365887160752
169,53.7501444501887,792.5,1095.25,49.0742536963108,791.500409822592,1094.3529403484,4.86496155005276
170,57.2692671247639,778.75,1024,51.3376218117343,777.421928766763,1024.16425653568,6.08072113565911
171,71.2554262104099,1003.25,839,60.3402912232284,1002.94126369025,837.155123787298,11.0742520351283
172,56.4694726901418,920.75,903.25,57.111520344699,922.03054919969,904.215657052333,1.72757778009252
173,56.4867453239802,822.75,1019.75,51.9645546509902,821.928753433991,1020.57112637279,4.66892952668504
174,39.7925464582275,748.25,1142.25,47.5632494756832,747.39725103152,1123.69350860186,20.135897774821
175,58.5573508550228,766.25,878.25,56.2291115820586,765.473963766233,878.525347811849,2.46956408416185
176,57.5740920067336,881.5,1020,52.7262684481328,881.658581332219,1018.05691119859,5.22514453239498
177,54.5104182853072,901.75,981.5,54.1355130304862,896.787118720219,982.178312257672,5.02303215858668
178,54.8202278490779,834.25,1053.5,50.8711376589374,829.307754127082,1054.66794920683,6.43313399114012
179,53.5281013266993,753.5,994.5,52.0914599862808,752.033361742455,994.010041546233,2.11069311031033
180,55.2937607571798,826.5,1107,49.0321008326609,825.924932098241,1106.84504796996,6.28992036782453
181,45.111192974933,878,1062,51.2120910428602,878.346597858398,1060.84465557184,6.21899574355623
182,41.2194540382413,829.25,1064,50.463313660732,828.840978027008,1066.33150530197,9.54212537477055
183,62.2031694900033,871.25,891.75,57.0994088987963,871.064039203213,887.879885474978,6.40786548135056
184,56.2144073322837,930.5,1010.75,53.5245123483728,930.393504226065,1010.88447780271,2.69535909551151
185,62.4059546683064,846.25,878.5,57.1148030744899,847.119612858806,879.594325899512,5.47266487986327
186,62.165923708183,762.5,1097.25,48.6401842816461,761.102175186118,1096.97722704197,13.6005127231112
187,54.0663341625823,754.75,962.75,53.2704271750695,749.337187125783,958.967649532366,6.65117930927107
188,58.6582118762172,739.75,949.25,53.3961034004178,741.844549504065,952.873152162432,6.72340351519929
189,45.8273687570629,845.25,1047.5,51.2609098561863,843.487712295055,1048.0171945583,5.73554853889288
190,57.9273988021697,736.25,991.5,51.9660780333907,733.805006533103,991.674830423951,6.44561122304039
191,50.8606594375358,760.25,985.75,52.4608866850816,759.362767715741,985.70587660042,1.83026097713121
192,54.1111686107567,886.5,1114,49.4150925398949,887.007622023002,1115.74694254875,5.03613133766336
193,46.1428200848044,829.25,1031.5,51.6414547344762,832.503408443803,1033.39488853412,6.66410174513538
194,56.8192779621286,862.5,846.5,58.4192719490744,864.775203389364,847.578890914432,2.98337674900089
195,49.1754915810583,852.75,1009.5,52.7018866632309,851.645526574897,1008.93692951989,3.73796364186391
196,59.2286382278192,755.25,928.75,54.3583244633755,754.19519161615,929.037212720932,4.99149957806622
197,55.1020374435592,763.25,932.25,54.3346194305037,762.154591815944,932.329995065667,1.33986891410714
198,47.6017367103915,853.25,1043.5,51.3208668590392,850.288329071788,1048.5065434333,6.90426686181323
199,43.9237695611823,831.75,1003,52.5895132063918,837.961063806341,1007.7125006095,11.6567614938928
